,VIC,NSW,QLD,WA,SA,TAS,ACT,NT,TOTAL
Dec 29,0,9,2,1,0,0,0,1,13
Dec 28,2,14,5,3,1,0,0,0,25
Dec 27,1,11,0,2,2,0,0,0,16
Dec 26,0,15,1,5,-1,0,0,0,20
Dec 25,0,9,2,1,2,0,0,0,14
Dec 24,0,18,2,1,2,0,0,1,24
Dec 23,1,16,1,0,0,0,0,1,19
Dec 22,3,18,0,0,0,0,0,0,21
Dec 21,1,23,1,1,0,0,1,0,26
Dec 20,2,36,2,0,3,0,0,0,44
Dec 19,2,30,0,1,0,0,0,2,35
Dec 18,1,16,2,1,0,0,0,1,21
Dec 17,0,9,1,1,0,0,0,2,13
Dec 16,0,7,1,4,0,0,0,0,12
Dec 15,-1,5,1,1,0,0,0,2,8
Dec 14,1,3,1,1,1,0,0,1,8
Dec 13,1,3,0,1,0,0,0,1,6
Dec 12,5,6,1,1,0,0,0,0,13
Dec 11,0,9,0,2,0,0,0,0,11
Dec 10,0,2,4,0,0,1,0,1,8
Dec 9,0,2,0,1,0,3,0,0,6
Dec 8,0,6,6,1,0,0,0,2,15
Dec 7,0,4,3,0,0,0,0,0,7
Dec 6,0,5,2,2,0,0,0,0,9
Dec 5,0,2,2,3,0,0,0,0,7
Dec 4,0,6,2,2,0,0,0,0,10
Dec 3,0,9,1,0,0,0,0,6,16
Dec 2,0,6,3,2,0,0,0,0,11
Dec 1,0,5,0,3,0,0,0,0,8
Nov 30,0,9,1,0,0,0,0,1,11
Nov 29,0,4,2,1,1,0,1,0,8
Nov 28,0,8,1,0,1,0,1,0,11
Nov 27,0,4,1,0,1,0,0,0,7
Nov 26,0,0,0,7,1,0,0,3,11
Nov 25,0,4,0,2,0,0,0,2,8
Nov 24,0,6,1,4,2,0,0,0,13
Nov 23,0,4,3,5,1,0,0,1,14
Nov 22,0,11,1,2,0,0,0,0,14
Nov 21,0,10,2,1,2,0,0,0,15
Nov 20,0,3,0,2,3,0,0,0,8
Nov 19,0,5,3,0,-1,0,1,0,7
Nov 18,0,7,1,6,2,0,0,0,17
Nov 17,0,4,1,0,5,0,0,0,10
Nov 16,0,3,0,1,18,0,0,0,22
Nov 15,0,9,0,4,4,0,0,0,17
Nov 14,0,4,2,0,2,0,0,0,8
Nov 13,0,-1,1,0,0,0,0,4,4
Nov 12,0,5,3,3,1,0,0,1,13
Nov 11,0,4,1,2,1,0,0,0,8
Nov 10,0,5,1,2,1,0,0,1,10
Nov 9,0,7,0,0,2,0,0,1,10
Nov 8,0,3,0,0,3,0,0,0,6
Nov 7,0,5,0,0,2,0,0,0,7
Nov 6,0,9,0,1,1,0,0,0,11
Nov 5,0,2,0,4,5,0,0,1,12
Nov 4,0,8,2,1,1,0,0,0,12
Nov 3,0,3,3,0,2,0,0,0,8
Nov 2,-1,7,0,1,0,0,0,0,7
Nov 1,-1,4,1,1,0,0,0,0,5
Oct 31,0,4,-1,1,4,0,0,0,8
Oct 30,3,6,1,1,1,0,0,1,13
Oct 29,2,5,2,1,1,0,0,4,15
Oct 28,1,8,2,1,1,0,0,0,13
Oct 27,0,12,0,2,0,0,0,0,14
